,Word,Count
0,i,604296
1,the,361015
2,and,337736
3,to,297433
4,it,222683
5,a,211947
6,my,204548
7,of,177416
8,for,132445
9,was,126164
10,this,124055
11,have,121229
12,in,120755
13,that,98798
14,on,97284
15,but,92770
16,is,92178
17,me,88720
18,not,86203
19,with,82217
20,had,73900
21,t,72870
22,side,58080
23,so,55625
24,taking,54714
25,after,54413
26,at,53849
27,am,52594
28,effects,52455
29,as,48401
30,pain,47791
31,all,47163
32,day,46778
33,drug,46217
34,take,45838
35,no,45399
36,like,43867
37,been,43115
38,be,42543
39,if,41353
40,you,40528
41,about,39529
42,has,37618
43,very,37594
44,or,37497
45,mg,36477
46,now,36126
47,up,35226
48,when,34342
49,from,34039
50,can,33244
51,feel,32807
52,s,32777
53,days,32661
54,out,32396
55,time,32341
56,get,31728
57,are,31688
58,just,31194
59,m,31162
60,off,30846
61,would,30356
62,first,29685
63,only,28572
64,weight,28033
65,more,27591
66,will,27589
67,back,27396
68,started,26908
69,do,25546
70,years,25443
71,also,24453
72,because,23859
73,one,23604
74,months,23382
75,some,23306
76,took,22822
77,anxiety,22606
78,then,22157
79,sleep,22150
80,an,22072
81,which,21789
82,loss,21766
83,did,21738
84,still,21631
85,before,21622
86,never,21476
87,any,21430
88,doctor,20893
89,ve,20822
90,medication,20462
91,don,20245
92,bad,20243
93,severe,20236
94,night,20191
95,felt,20126
96,they,19783
97,weeks,19686
98,other,19607
99,feeling,19573
100,depression,19485
101,much,19158
102,life,19158
103,than,19090
104,really,18502
105,better,17933
106,again,17906
107,what,17726
108,symptoms,17710
109,over,17619
110,week,17386
111,even,17273
112,go,17250
113,gain,16994
114,by,16850
115,could,16751
116,dose,16387
117,went,16186
118,going,16085
119,work,15828
120,since,15479
121,pill,15297
122,nausea,15277
123,were,15151
124,well,14888
125,he,14802
126,having,14771
127,good,14383
128,your,14245
129,two,14178
130,know,14121
131,think,13909
132,there,13899
133,few,13570
134,these,13286
135,every,13040
136,problems,13037
137,stopped,13022
138,month,12999
139,got,12902
140,didn,12886
141,hours,12747
142,headaches,12516
143,away,12506
144,body,12292
145,last,12208
146,help,12160
147,too,12064
148,stomach,11969
149,down,11740
150,being,11699
151,extreme,11613
152,great,11508
153,heart,11399
154,mouth,11266
155,made,11227
156,medicine,11081
157,stop,11001
158,taken,10993
159,year,10965
160,long,10947
161,dry,10847
162,worse,10821
163,little,10594
164,getting,10583
165,fatigue,10576
166,mood,10567
167,people,10408
168,times,10395
169,while,10368
170,thought,10312
171,sex,10296
172,helped,10110
173,insomnia,10097
174,increased,10079
175,effect,10029
176,ago,10007
177,see,9909
178,almost,9887
179,horrible,9869
180,tired,9825
181,them,9691
182,blood,9684
183,how,9655
184,period,9543
185,appetite,9523
186,use,9443
187,she,9402
188,normal,9368
189,ever,9259
190,who,9179
191,without,9177
192,tried,9157
193,want,9131
194,headache,9063
195,hair,8988
196,until,8887
197,none,8861
198,many,8848
199,try,8847
200,right,8799
201,worked,8743
202,dizziness,8717
203,put,8699
204,drive,8625
205,told,8612
206,works,8609
207,most,8546
208,skin,8429
209,sure,8427
210,experienced,8403
211,morning,8400
212,myself,8346
213,though,8295
214,said,8244
215,due,8217
216,used,8116
217,muscle,8100
218,prescribed,8033
219,should,8033
220,during,7974
221,its,7957
222,anything,7953
223,nothing,7935
224,need,7898
225,something,7888
226,make,7832
227,through,7818
228,same,7787
229,anyone,7771
230,things,7741
231,does,7718
232,way,7660
233,dr,7652
234,far,7547
235,high,7535
236,once,7533
237,med,7526
238,we,7512
239,into,7488
240,next,7464
241,able,7412
242,may,7383
243,however,7337
244,meds,7333
245,found,7301
246,control,7238
247,taste,7165
248,lot,7151
249,lost,7013
250,thing,6921
251,another,6878
252,problem,6855
253,couldn,6829
254,within,6807
255,d,6731
256,experience,6713
257,swings,6681
258,always,6649
259,around,6632
260,less,6612
261,panic,6565
262,worth,6483
263,noticed,6458
264,memory,6432
265,pills,6423
266,low,6418
267,head,6386
268,later,6373
269,mild,6344
270,gone,6326
271,pressure,6275
