name,url
0,A/T/S,viewrating.asp?drug=62405&name=A%2FT%2FS
1,ABILIFY,viewrating.asp?drug=21436&name=ABILIFY
2,ABILIFY MAINTENA KIT,viewrating.asp?drug=202971&name=ABILIFY+MAINTENA+KIT
3,ABRAXANE,viewrating.asp?drug=21660&name=ABRAXANE
4,ABREVA,viewrating.asp?drug=20941&name=ABREVA
5,ACANYA,viewrating.asp?drug=50819&name=ACANYA
6,ACCOLATE,viewrating.asp?drug=20547&name=ACCOLATE
7,ACCUPRIL,viewrating.asp?drug=19885&name=ACCUPRIL
8,ACCURETIC,viewrating.asp?drug=20125&name=ACCURETIC
9,ACCUTANE,viewrating.asp?drug=18662&name=ACCUTANE
10,ACEBUTOLOL HCL,viewrating.asp?drug=74007&name=ACEBUTOLOL+HCL
11,ACEON,viewrating.asp?drug=20184&name=ACEON
12,ACETAMINOPHEN,viewrating.asp?drug=18337&name=ACETAMINOPHEN
13,ACETAMINOPHEN AND CODEINE PHOSPHATE,viewrating.asp?drug=40098&name=ACETAMINOPHEN+AND+CODEINE+PHOSPHATE
14,ACETAMINOPHEN AND HYDROCODONE BITARTRATE,viewrating.asp?drug=88898&name=ACETAMINOPHEN+AND+HYDROCODONE+BITARTRATE
15,ACETAMINOPHEN W/ CODEINE NO. 3,viewrating.asp?drug=84656&name=ACETAMINOPHEN+W%2F+CODEINE+NO%2E+3
16,"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",viewrating.asp?drug=75794&name=ACETAMINOPHEN%2C+ASPIRIN+AND+CAFFEINE
17,ACETAZOLAMIDE,viewrating.asp?drug=40195&name=ACETAZOLAMIDE
18,ACETYLCYSTEINE,viewrating.asp?drug=71364&name=ACETYLCYSTEINE
19,ACIPHEX,viewrating.asp?drug=20973&name=ACIPHEX
20,ACLOVATE,viewrating.asp?drug=18702&name=ACLOVATE
21,ACTEMRA,viewrating.asp?drug=125276&name=ACTEMRA
22,ACTIGALL,viewrating.asp?drug=19594&name=ACTIGALL
23,ACTIQ,viewrating.asp?drug=20747&name=ACTIQ
24,ACTIVELLA,viewrating.asp?drug=20907&name=ACTIVELLA
25,ACTONEL,viewrating.asp?drug=20835&name=ACTONEL
26,ACTOPLUS MET,viewrating.asp?drug=21842&name=ACTOPLUS+MET
27,ACTOS,viewrating.asp?drug=21073&name=ACTOS
28,ACULAR,viewrating.asp?drug=19700&name=ACULAR
29,ACYCLOVIR,viewrating.asp?drug=74556&name=ACYCLOVIR
30,ACYCLOVIR SODIUM,viewrating.asp?drug=74596&name=ACYCLOVIR+SODIUM
31,ACZONE,viewrating.asp?drug=21794&name=ACZONE
32,ADALAT,viewrating.asp?drug=19478&name=ADALAT
33,ADALAT CC,viewrating.asp?drug=20198&name=ADALAT+CC
34,ADDERALL 10,viewrating.asp?drug=11522&name=ADDERALL+10
35,ADDERALL XR 10,viewrating.asp?drug=21303&name=ADDERALL+XR+10
36,ADENOSCAN,viewrating.asp?drug=20059&name=ADENOSCAN
37,ADIPEX-P,viewrating.asp?drug=85128&name=ADIPEX%2DP
38,ADRIAMYCIN PFS,viewrating.asp?drug=50629&name=ADRIAMYCIN+PFS
39,ADVAIR DISKUS 100/50,viewrating.asp?drug=21077&name=ADVAIR+DISKUS+100%2F50
40,ADVAIR HFA,viewrating.asp?drug=21254&name=ADVAIR+HFA
41,ADVICOR,viewrating.asp?drug=21249&name=ADVICOR
42,ADVIL,viewrating.asp?drug=18989&name=ADVIL
43,ADVIL COLD AND SINUS,viewrating.asp?drug=19771&name=ADVIL+COLD+AND+SINUS
